 
****************************************
Report : cell
Design : proc
Version: B-2008.09-SP3
Date   : Thu Mar 17 10:45:26 2016
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
PC[0]                     dff_128                         14.079000 h, n
PC[1]                     dff_129                         14.079000 h, n
PC[2]                     dff_130                         14.079000 h, n
PC[3]                     dff_131                         14.079000 h, n
U403                      INVX1           gscl45nm        1.407900  
U404                      INVX1           gscl45nm        1.407900  
U405                      INVX2           gscl45nm        1.877200  
U406                      BUFX2           gscl45nm        2.346500  
U407                      BUFX4           gscl45nm        2.815800  
U408                      AND2X2          gscl45nm        2.815800  
U409                      INVX1           gscl45nm        1.407900  
U410                      INVX1           gscl45nm        1.407900  
U411                      INVX1           gscl45nm        1.407900  
U412                      INVX4           gscl45nm        3.285100  
U413                      INVX1           gscl45nm        1.407900  
U414                      BUFX2           gscl45nm        2.346500  
U415                      INVX1           gscl45nm        1.407900  
U416                      INVX2           gscl45nm        1.877200  
U417                      BUFX2           gscl45nm        2.346500  
U418                      INVX1           gscl45nm        1.407900  
U419                      INVX1           gscl45nm        1.407900  
U420                      INVX1           gscl45nm        1.407900  
U421                      INVX1           gscl45nm        1.407900  
U422                      INVX1           gscl45nm        1.407900  
U423                      INVX1           gscl45nm        1.407900  
U424                      INVX1           gscl45nm        1.407900  
U425                      INVX1           gscl45nm        1.407900  
U426                      BUFX2           gscl45nm        2.346500  
U427                      BUFX2           gscl45nm        2.346500  
U428                      INVX1           gscl45nm        1.407900  
U429                      INVX4           gscl45nm        3.285100  
U430                      INVX1           gscl45nm        1.407900  
U431                      INVX1           gscl45nm        1.407900  
U432                      INVX1           gscl45nm        1.407900  
U433                      INVX1           gscl45nm        1.407900  
U434                      INVX1           gscl45nm        1.407900  
U435                      BUFX2           gscl45nm        2.346500  
U436                      INVX1           gscl45nm        1.407900  
U437                      INVX1           gscl45nm        1.407900  
U438                      BUFX2           gscl45nm        2.346500  
U439                      BUFX4           gscl45nm        2.815800  
U440                      BUFX4           gscl45nm        2.815800  
U441                      INVX4           gscl45nm        3.285100  
U442                      INVX8           gscl45nm        3.285100  
U443                      INVX8           gscl45nm        3.285100  
U444                      INVX8           gscl45nm        3.285100  
U445                      INVX8           gscl45nm        3.285100  
U446                      INVX8           gscl45nm        3.285100  
U447                      INVX8           gscl45nm        3.285100  
U448                      INVX8           gscl45nm        3.285100  
U449                      AOI21X1         gscl45nm        2.815800  
U450                      MUX2X1          gscl45nm        3.754400  
U451                      INVX2           gscl45nm        1.877200  
U452                      MUX2X1          gscl45nm        3.754400  
U453                      MUX2X1          gscl45nm        3.754400  
U454                      MUX2X1          gscl45nm        3.754400  
U455                      INVX2           gscl45nm        1.877200  
U456                      MUX2X1          gscl45nm        3.754400  
U457                      INVX2           gscl45nm        1.877200  
U458                      MUX2X1          gscl45nm        3.754400  
U459                      MUX2X1          gscl45nm        3.754400  
U460                      OR2X2           gscl45nm        2.815800  
U461                      OAI21X1         gscl45nm        2.815800  
U462                      OAI21X1         gscl45nm        2.815800  
U463                      OAI21X1         gscl45nm        2.815800  
U464                      INVX2           gscl45nm        1.877200  
U465                      OAI21X1         gscl45nm        2.815800  
U466                      INVX2           gscl45nm        1.877200  
U467                      OAI21X1         gscl45nm        2.815800  
U468                      OAI21X1         gscl45nm        2.815800  
U469                      OAI21X1         gscl45nm        2.815800  
U470                      OAI21X1         gscl45nm        2.815800  
U471                      OAI21X1         gscl45nm        2.815800  
U472                      OAI21X1         gscl45nm        2.815800  
U473                      OAI21X1         gscl45nm        2.815800  
U474                      OAI21X1         gscl45nm        2.815800  
U475                      OAI21X1         gscl45nm        2.815800  
U476                      OAI21X1         gscl45nm        2.815800  
U477                      OAI21X1         gscl45nm        2.815800  
U478                      OR2X2           gscl45nm        2.815800  
U479                      AOI22X1         gscl45nm        3.285100  
U480                      AOI22X1         gscl45nm        3.285100  
U481                      AOI22X1         gscl45nm        3.285100  
U482                      AOI22X1         gscl45nm        3.285100  
U483                      AOI22X1         gscl45nm        3.285100  
U484                      AOI22X1         gscl45nm        3.285100  
